AmbTemp_C_Avg,WindSpeedAve_ms,WindDirAve_deg,PwrMtrP_kW_Avg,RTD_C_Avg_Mean,Minute
4.313,1.175,245.3,0.0,0.23640000000000003,218
4.271,0.807,231.2,0.0,0.19310000000000005,219
4.168,1.047,200.3,0.0,0.13810000000000003,220
4.204,1.063,217.2,0.0,0.1829,221
4.139,0.712,237.1,0.0,0.16710000000000003,222
4.146,0.788,235.2,0.0,0.11670000000000003,223
4.236,0.903,261.0,0.0,0.11929999999999996,224
4.35,1.348,241.4,0.0,0.13020000000000004,225
4.178,0.71,250.0,0.0,0.12960000000000002,226
4.074,0.488,237.8,0.0,0.07109999999999994,227
3.902,0.478,200.1,0.0,0.07149999999999994,228
4.046,0.957,248.6,0.0,0.15019999999999997,229
4.191,1.095,240.1,0.0,0.24819999999999992,230
4.188,1.038,252.5,0.0,0.3646999999999999,231
4.032,0.793,204.9,0.0,0.4953,232
4.038,1.138,225.3,0.0,0.6418999999999999,233
4.198,1.615,259.4,0.0,0.8489999999999999,234
4.335,1.422,263.7,0.0,1.1303,235
4.443,1.45,249.1,0.0,1.2924,236
4.606,1.355,247.3,0.0,1.4785000000000001,237
4.653,0.953,250.6,0.0,1.5913999999999997,238
4.471,1.083,217.0,0.0,1.6928,239
4.441,0.77,223.5,0.0,1.8013,240
4.45,0.695,241.8,0.0,1.8828,241
4.493,0.77,229.2,0.0,1.9693999999999998,242
4.435,0.64,211.6,0.0,2.0326999999999997,243
4.575,0.83,239.6,0.0,2.1528,244
4.663,1.177,229.6,0.0,2.2561,245
4.744,1.152,269.7,0.0,2.3576,246
4.811,1.043,278.4,0.0,2.5253,247
4.863,0.602,272.8,0.0,2.6155,248
4.895,0.952,264.3,0.0,2.6817,249
4.949,1.778,271.4,0.0,2.788,250
4.992,1.405,277.9,0.0,2.8644,251
4.943,0.917,250.1,0.0,2.8874000000000004,252
4.951,1.107,250.1,0.0,2.9213,253
4.937,1.987,263.3,0.0,3.0189999999999997,254
4.931,0.995,260.5,0.0,3.1361,255
4.956,0.76,250.5,0.0,3.1336,256
4.922,0.858,272.6,0.0,3.1578000000000004,257
4.967,1.39,304.5,0.0,3.2471999999999994,258
4.914,1.995,310.2,0.0,3.3122,259
4.906,1.572,288.4,0.0,3.3224000000000005,260
4.918,0.947,276.8,0.0,3.3389,261
4.949,1.11,254.7,0.0,3.3593,262
4.918,1.485,246.5,0.0,3.4165,263
4.876,1.303,245.3,0.0,3.4143,264
4.916,1.283,239.3,0.0,3.3849000000000005,265
4.828,1.033,241.9,0.0,3.3434999999999997,266
4.771,1.098,264.9,0.0,3.3372,267
4.832,1.155,264.3,0.0,3.3737000000000004,268
4.884,1.482,233.7,0.0,3.4037999999999995,269
4.897,1.395,235.5,0.0,3.4783,270
4.909,1.358,271.7,0.0,3.5047000000000006,271
4.923,1.518,269.4,0.0,3.5795000000000003,272
4.901,0.875,260.7,0.0,3.5814999999999997,273
4.884,1.047,228.6,0.0,3.5608000000000004,274
4.951,1.0,223.0,0.0,3.5828999999999995,275
4.884,1.04,268.6,0.0,3.575,276
4.905,1.353,247.4,0.0,3.6296999999999997,277
4.919,0.86,250.5,0.0,3.6513,278
4.919,1.1,249.8,0.0,3.6436,279
4.986,1.34,254.3,0.0,3.6495999999999995,280
4.914,0.745,225.4,0.0,3.6500999999999997,281
4.871,0.607,196.1,0.0,3.6295,282
4.94,0.978,204.4,0.0,3.6317,283
4.921,1.08,239.4,0.0,3.6348000000000007,284
4.91,0.9,245.0,0.0,3.6335,285
4.849,0.62,230.6,0.0,3.6279000000000003,286
4.752,0.708,201.2,0.0,3.6238,287
4.694,0.698,176.9,0.0,3.6152,288
4.75,0.598,205.1,0.0,3.6102,289
4.777,0.588,222.0,0.0,3.6087,290
4.768,0.735,214.9,0.0,3.6092999999999997,291
4.709,0.917,233.0,0.0,3.6137,292
4.739,1.088,217.2,0.0,3.6123,293
4.7,0.585,248.0,0.0,3.6350000000000002,294
4.696,0.525,189.7,0.0,3.6153999999999997,295
4.67,0.675,213.3,0.0,3.6515,296
4.723,1.028,220.7,0.0,3.6704,297
4.767,0.945,231.7,0.0,3.6634,298
4.746,1.01,215.0,0.0,3.6659999999999995,299
4.721,1.035,223.7,0.0,3.6507999999999994,300
4.755,1.002,218.2,0.0,3.6468999999999996,301
4.703,0.592,210.1,0.0,3.6193999999999997,302
4.694,0.773,178.7,0.0,3.5675000000000003,303
4.701,0.427,190.2,0.0,3.5362,304
4.629,0.705,200.4,0.0,3.4875999999999996,305
4.612,0.458,170.9,0.0,3.4490000000000003,306
4.645,0.747,161.0,0.0,3.399,307
4.496,0.675,172.1,0.0,3.3425,308
4.452,0.608,175.5,0.0,3.2661000000000002,309
4.422,0.702,143.9,0.0,3.1895000000000002,310
4.327,0.628,156.0,0.0,3.0774,311
4.259,0.532,173.9,0.0,2.976,312
4.141,0.678,173.0,0.0,2.8822,313
4.029,0.74,172.7,0.0,2.8237,314
4.018,0.685,157.9,0.0,2.7897000000000003,315
3.951,0.62,142.1,0.0,2.755,316
3.868,0.59,140.3,0.0,2.7185,317
3.801,0.608,138.1,0.0,2.6871,318
