AmbTemp_C_Avg,WindSpeedAve_ms,WindDirAve_deg,PwrMtrP_kW_Avg,RTD_C_Avg_Mean,Minute
8.02,0.537,26.53,-0.377,4.9637,1029
5.957,0.517,52.34,0.0,5.5461,1336
3.846,0.52,169.4,0.0,2.6555,328
3.801,0.608,138.1,0.0,2.6871,318
5.72,0.5,55.51,0.0,2.0677,1108
4.574,0.227,348.1,0.0,1.8214,1176
6.705,2.142,211.7,0.0,5.8363,12
3.566,1.493,154.9,0.0,0.4704,171
4.906,1.572,288.4,0.0,3.3224000000000005,260
10.23,3.298,308.6,184.1,23.694,752
10.4,1.172,353.5,138.7,23.648000000000003,792
9.9,2.57,299.9,179.8,25.124999999999996,733
4.691,1.193,180.4,0.0,1.3362,138
6.393,0.785,323.2,73.06,10.110999999999999,567
10.23,1.782,10.29,143.8,21.45,777
9.58,2.3,346.2,165.8,21.951999999999998,715
4.64,0.828,160.1,0.0,1.2742999999999998,139
5.018,0.148,300.7,0.0,2.1017,1259
4.236,0.903,261.0,0.0,0.11929999999999996,224
5.967,1.403,16.38,33.38,8.572099999999999,543
4.058,0.717,146.2,0.0,3.2752000000000003,409
3.773,0.36,148.9,0.0,2.6561999999999997,325
4.746,1.01,215.0,0.0,3.6659999999999995,299
5.609,1.012,51.49,0.0,2.1661,1198
6.244,0.527,56.21,0.0,2.4122999999999997,1093
7.894,2.267,350.0,73.83,13.007,619
6.354,0.495,153.2,0.0,5.967899999999998,1414
10.87,2.845,297.0,108.7,22.011,873
10.83,1.035,315.8,128.7,24.084,855
4.102,0.512,86.2,30.18,4.1622,503
9.17,2.032,325.3,126.2,17.984,700
6.792,2.167,207.9,0.0,6.0335,3
10.52,0.917,355.3,15.96,13.825999999999999,962
2.639,0.397,79.04,0.995,1.4808,467
3.705,0.687,160.5,0.0,2.6288,321
6.745,1.0606782861292665,0.0,0.0,6.016800000000001,5
9.6,0.327,50.07,1.04,8.0722,997
5.617,0.227,67.14,0.0,1.7631000000000001,1157
7.738,0.738,11.96,-0.072,6.2905999999999995,1013
6.568,2.68,232.5,0.0,5.531300000000002,39
6.056,1.37,14.43,31.88,8.54,542
4.493,0.77,229.2,0.0,1.9693999999999998,242
4.65,0.797,207.3,0.0,1.3958000000000002,136
6.107,1.255,359.5,48.14,9.654,558
9.68,3.057,291.6,178.6,21.283,712
7.847,1.918,329.1,63.86,13.024000000000001,624
7.958,0.655,41.75,-0.377,4.8849,1030
5.342,0.55,72.15,0.0,4.6489,1312
10.35,1.645,284.5,7.892,12.254,970
6.247,0.325,25.82,0.0,2.5425,1087
5.97,0.685,55.79,0.0,5.5055,1335
4.353,0.327,146.5,0.0,3.4107999999999996,376
4.029,0.74,172.7,0.0,2.8237,314
3.503,0.492,130.1,0.0,2.0309999999999997,442
3.741,0.467,152.0,0.0,2.6556,319
